slug,总分,SEO技术分,内容质量分,关键词优化分,用户体验分,差异化分,AI痕迹扣分,结构相似度%,主要问题,优化建议
can-intermittent-fasting-help-manage-type-2-diabetes-after-60,59,10,25,6,8,10,0,2.4,描述长度不佳(90字符); 标题未包含主关键词,补充内链
the-connection-between-frequent-urination-at-night-and-heart-health,59,12,16,6,15,10,0,1.8,描述长度不佳(91字符); 标题未包含主关键词,优化关键词密度
heart-disease-and-chronic-kidney-disease-the-dangerous-connection,59,12,16,6,15,10,0,6.1,描述长度不佳(85字符); 标题未包含主关键词,优化关键词密度
does-caffeine-raise-blood-pressure-after-age-60,59,8,20,6,15,10,0,0.7,描述长度不佳(111字符); 标题未包含主关键词,补充内链
how-chronic-stress-contributes-to-high-blood-pressure-over-time,59,10,18,6,15,10,0,5.5,描述长度不佳(109字符); 标题未包含主关键词,补充内链
why-sudden-weight-gain-could-be-a-red-flag-for-your-heart,58,10,17,6,15,10,0,1.4,描述长度不佳(89字符); 标题未包含主关键词,补充内链
how-sleep-affects-heart-health-after-50,58,10,19,4,15,10,0,1.3,标题长度不佳(39字符); 标题未包含主关键词,优化关键词密度
why-older-women-gain-weight-faster-during-the-holidays-after-menopause,58,12,22,6,8,10,0,6.6,标题未包含主关键词; 缺少内链,补充内链
best-supplements-for-blood-sugar-support-after-50,58,8,27,6,8,10,1,1.8,描述长度不佳(95字符); 标题未包含主关键词,补充内链
understanding-blood-pressure-numbers,57,14,9,9,15,10,0,0.2,内容过短(566词); 缺少研究引用/数据支持,优化关键词密度
when-to-worry-about-high-readings,55,14,10,6,15,10,0,0.3,标题未包含主关键词; 缺少研究引用/数据支持,优化关键词密度
is-low-blood-pressure-dangerous-for-seniors,55,10,15,6,15,10,1,6.6,描述长度不佳(116字符); 标题未包含主关键词,优化关键词密度
can-binge-drinking-during-festive-seasons-cause-atrial-fibrillation-in-older-adults,54,8,22,6,8,10,0,2.4,标题长度不佳(84字符); 标题未包含主关键词,补充内链
hidden-salt-10-surprising-foods-that-spike-blood-pressure,53,10,19,6,8,10,0,0.0,描述长度不佳(112字符); 标题未包含主关键词,补充内链
how-retirement-changes-affect-heart-health,52,8,20,6,8,10,0,11.3,描述长度不佳(103字符); 标题未包含主关键词,补充内链
